,categories,name,prices,site,url
0,"['distillate', 'extracts', 'medical products and accessories']",LOW KEY – Discreet Vape,"[['', '1.95 - 49.95']]",bcbud.store,https://bcbud.store/product/low-key-distillate-vape/
2,"['candies', 'chocolate', 'edibles']",Baked Edibles Milkshake Mix,"[['', 12.95]]",bcbud.store,https://bcbud.store/product/baked-edibles-milkshake-mix/
4,"['extracts', 'oil']",BCB Cherry Oil,"[['', 19.95]]",bcbud.store,https://bcbud.store/product/bcb-cherry-oil/
6,"['hash', 'hash and keif']",Black Bricks Hash,"[['3-5-grams', 39.06], ['7-grams', 75.0], ['14-grams', 131.25], ['28-grams', 250.0]]",bcbud.store,https://bcbud.store/product/black-bricks-hash/
9,"['accessories', 'medical products and accessories']",Boveda 62% RH – 67 gram,"[['', 9.95]]",bcbud.store,https://bcbud.store/product/boveda-62-rh-67-gram/
11,"['hash', 'hash and keif']",Bubble Hash Cups,"[['', '84.75 - 400.00']]",bcbud.store,https://bcbud.store/product/bubble-hash-cups/
12,"['edibles', 'extracts', 'tinctures']",Canna Co. Indica/Sativa/Hybrid/CBD/THC Tinctures,"[['', '39.95 - 44.95']]",bcbud.store,https://bcbud.store/product/canna-co-indica-sativa-hybrid-cbd-thc-tinctures/
13,"['candies', 'edibles', 'soft candy']",Canna Co. Soft Jelly Candies,"[['', 8.95]]",bcbud.store,https://bcbud.store/product/canna-co-soft-jelly-candies/
14,"['baked goods', 'cookies', 'edibles']",Canna Co’s Cookies,"[['', 12.95]]",bcbud.store,https://bcbud.store/product/canna-cos-cookies/
15,"['candies', 'chocolate', 'edibles']",Canna Co’s Peanut Butter Cups 120mg/THC,"[['', 14.95]]",bcbud.store,https://bcbud.store/product/canna-cos-peanut-butter-cups-120mg-thc/
16,"['chocolate', 'edibles']",Canna Co’s Torone Bar,"[['', 19.95]]",bcbud.store,https://bcbud.store/product/canna-cos-torone-bar/
17,"['candies', 'cbd', 'chocolate', 'edibles', 'medical products and accessories']",CannaCo CBD Edibles Chocolate Bars,"[['', 25.95]]",bcbud.store,https://bcbud.store/product/cannaco-cbd-edibles-chocolate-bars/
18,"['candies', 'chocolate', 'edibles']",CannaCo THC Chocolate Crunch Bars,"[['', 9.95]]",bcbud.store,https://bcbud.store/product/cannaco-thc-chocolate-crunch-bars/
19,"['distillate', 'extracts']",Cannatek Vape Cartridges,"[['', 79.95]]",bcbud.store,https://bcbud.store/product/cannatek-vape-cartridges/
20,"['cbd', 'medical products and accessories']",CBD Bath & Relaxation Products – by Organa,"[['', '11.95 - 24.95']]",bcbud.store,https://bcbud.store/product/organa-cbd-bath-relaxation-products/
21,"['cannabidiol - cbd', 'extracts']",CBD Isolate,"[['', 39.95]]",bcbud.store,https://bcbud.store/product/cbd-isolate/
