,categories,name,prices,site,url
572,['uncategorized'],RAW Organic Hemp King Size Slim,"[['', '2.80 - 12']]",buymyweedonline.ca,https://buymyweedonline.ca/product/raw-organic-hemp-king-size-slim/
3142,['on sale!'],Sour Diesel (on sale from $185/oz to $140/oz),"[['28-grams', '140']]",jjmeds.com,https://jjmeds.com/product/sour-diesel-on-sale-from-185-oz-to-140-oz/
3143,['on sale!'],Ting OG (on sale $225 oz to $170 oz),"[['28-grams', '170']]",jjmeds.com,https://jjmeds.com/product/ting-og-on-sale-225-oz-to-170-oz/
3144,['on sale!'],Scooby Snacks (on sale from $225/oz to $170/oz),"[['28-grams', '170']]",jjmeds.com,https://jjmeds.com/product/scooby-snacks-on-sale-from-235-oz-to-180-oz/
3145,['on sale!'],Lemon Heads OG (on sale $200 oz to $165 oz),"[['28-grams', '165']]",jjmeds.com,https://jjmeds.com/product/lemon-heads-og-on-sale-200-oz-to-165-oz/
3148,['on sale!'],Waterfall (on sale from $200/oz to $175/oz),"[['28-grams', '175']]",jjmeds.com,https://jjmeds.com/product/waterfall-on-sale-from-200-oz-to-175-oz/
3149,['on sale!'],Firefly (on sale from $200/oz to $170/oz),"[['28-grams', '170']]",jjmeds.com,https://jjmeds.com/product/firefly-on-sale-from-200-oz-to-170-oz/
3150,['on sale!'],Lemon Peach,"[['28-grams', '139']]",jjmeds.com,https://jjmeds.com/product/lemon-peach/
3155,['on sale!'],11 Weeks MMJ: Dutch King #3 (on sale from $240/oz to $175/oz),"[['28-grams', '175']]",jjmeds.com,https://jjmeds.com/product/11-weeks-mmj-dutch-king-1-on-sale-from-240-oz-to-175-oz/
3157,['on sale!'],Scotch Kush (on sale 225/oz to 170/oz),"[['28-grams', '170']]",jjmeds.com,https://jjmeds.com/product/scotch-kush-on-sale-225-oz-to-170-oz/
3158,['on sale!'],Mountain Strawberry (on sale from $189/oz to $129/oz),"[['14-grams', '70'], ['28-grams', '129'], ['7-grams', '32']]",jjmeds.com,https://jjmeds.com/product/mountain-strawberry-on-sale-from-189-oz-to-129-oz/
3164,['on sale!'],Star Master (on sale from $200/oz to $155/oz),"[['28-grams', '155']]",jjmeds.com,https://jjmeds.com/product/star-master-on-sale-from-200-oz-to-155-oz/
3177,['new arrivals'],Eva’s Delicacies THC Nerd Ropes,"[['', '20.00 - 35.00']]",jjmeds.com,https://jjmeds.com/product/evas-delicacies-thc-nerd-ropes/
3178,['new arrivals'],Eva’s Delicacies THC Gummies 100 mg,"[['', '15.00']]",jjmeds.com,https://jjmeds.com/product/evas-delicacies-thc-gummies-100-mg/
3179,['new arrivals'],Eva’s Delicacies CBD Gummies 100mg,"[['', '16.00']]",jjmeds.com,https://jjmeds.com/product/evas-delicacies-cbd-gummies-100mg/
3180,['new arrivals'],Eva’s Delicacies THC Sour Keys 500mg / 1000mg,"[['1000mg', '60'], ['500mg', '30']]",jjmeds.com,https://jjmeds.com/product/evas-delicacies-thc-sour-keys-500mg-1000mg/
3181,['new arrivals'],Eva’s Delicacies THC Cola Belts,"[['1000mg', '65']]",jjmeds.com,https://jjmeds.com/product/evas-delicacies-thc-cola-belts/
3182,['new arrivals'],Eva’s Delicacies 300mg THC Mixed Gummies Candies,"[['', '30.00']]",jjmeds.com,https://jjmeds.com/product/evas-delicacies-300mg-thc-mixed-gummies-candies/
3183,['new arrivals'],Eva’s Delicacies CBD Gummies 300 mg,"[['', '40.00']]",jjmeds.com,https://jjmeds.com/product/evas-delicacies-cbd-gummies-300-mg/
3187,['on sale!'],Cookies Grower: Vanilla Smoothie,"[['28-grams', '200']]",jjmeds.com,https://jjmeds.com/product/cookies-grower-vanilla-smoothie/
3188,['new arrivals'],Creme Brulee Rosin,"[['', '40.00']]",jjmeds.com,https://jjmeds.com/product/creme-brulee-rosin/
3192,['on sale!'],Jet Fuel,"[['28-grams', '245']]",jjmeds.com,https://jjmeds.com/product/jet-fuel/
3194,['on sale!'],11 Weeks MMJ: Death Gas,"[['28-grams', '245']]",jjmeds.com,https://jjmeds.com/product/11-weeks-mmj-death-gas/
1659,['uncategorized'],pineapple express rosin,"[['', '40.00']]",deliverymeds.ca,https://deliverymeds.ca/product/pineapple-express-rosin/
3196,['on sale!'],Oso Slow,"[['28-grams', '250']]",jjmeds.com,https://jjmeds.com/product/oso-slow/
3197,['new arrivals'],11 Weeks MMJ: OG Star,"[['28-grams', '206']]",jjmeds.com,https://jjmeds.com/product/11-weeks-mmj-og-star/
3199,['on sale!'],Cottonwoods: High Terpene Full Spectrum Extract (HTFSE) 1 Gram,"[['', '65.00']]",jjmeds.com,https://jjmeds.com/product/cottonwoods-high-terpene-full-spectrum-extract-htfse-1-gram/
3200,['new arrivals'],Lite It Up Extract (HTFSE),"[['', '80.00']]",jjmeds.com,https://jjmeds.com/product/lite-it-up-extract-htfse/
3204,['new arrivals'],Animal Mint,"[['', 'out of stock']]",jjmeds.com,https://jjmeds.com/product/animal-mint/
1671,['uncategorized'],black momba,"[['', '8.00']]",deliverymeds.ca,https://deliverymeds.ca/product/black-momba/
3208,['new arrivals'],Lit Farm Concentrate’s Crumble,"[['', '50.00']]",jjmeds.com,https://jjmeds.com/product/lit-farm-concentrates-crumble/
3209,['new arrivals'],Lit Farm Concentrate’s Terp Sugar,"[['', '80.00']]",jjmeds.com,https://jjmeds.com/product/lit-farm-concentrates-terp-sugar/
3214,['on sale!'],Love Buds Delectable Edibles,"[['', '12.00 - 16.00']]",jjmeds.com,https://jjmeds.com/product/love-buds-delectable-edibles/
3217,['new arrivals'],Twisted Extracts Edibles,"[['', '12.00 - 260.00']]",jjmeds.com,https://jjmeds.com/product/twisted-extracts-edibles/
3220,['uncategorized'],High Voltage: Sauce,"[['', '45.00']]",jjmeds.com,https://jjmeds.com/product/high-voltage-sauce/
1690,['uncategorized'],lemon haze,"[['', '5.50']]",deliverymeds.ca,https://deliverymeds.ca/product/lemon-haze/
3229,['new arrivals'],Mary’s CBD Pet Tincture,"[['', '30.00 - 65.00']]",jjmeds.com,https://jjmeds.com/product/marys-cbd-pet-tincture/
2719,['flash deal'],Lottery – Halloween Party Pack,"[['', '66.00']]",herbapproach.com,https://herbapproach.com/product/lottery-halloween-party-pack/
2724,['flash deal'],Halloween Party Pack,"[['', '180.00']]",herbapproach.com,https://herbapproach.com/product/halloween-party-pack/
2726,"['flash deal', 'packs']",CBD Starter Pack,"[['', '165.00']]",herbapproach.com,https://herbapproach.com/product/cbd-starter-pack/
